Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,3,3,,2025/4/30 23:48
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,5,Stock Receipt,2025/5/1 21:47
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.94,3.06,Consumption Log,2025/5/1 23:03
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.5,2.56,Stock Requisition,2025/5/1 23:05
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.56,2,Stocktake Loss,2025/5/2 19:58
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,4,Stock Receipt,2025/5/2 21:27
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,6,Stock Receipt,2025/5/2 21:27
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.4,5.6,Stock Requisition,2025/5/2 22:32
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.46,4.14,Consumption Log,2025/5/2 22:41
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.66,4.8,Stocktake Gain,2025/5/3 0:43
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,6.8,Stock Receipt,2025/5/3 13:42
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-2.22,4.58,Consumption Log,2025/5/3 22:38
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.58,3,Stocktake Loss,2025/5/4 22:00
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,5,Stock Receipt,2025/5/4 22:00
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.86,3.14,Consumption Log,2025/5/4 22:39
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.6,2.54,Stock Requisition,2025/5/5 22:31
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,4.54,Stock Receipt,2025/5/5 22:31
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,6.54,Stock Receipt,2025/5/5 22:31
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.88,4.66,Consumption Log,2025/5/5 22:41
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.66,3,Stocktake Loss,2025/5/6 21:11
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.5,2.5,Stock Requisition,2025/5/6 22:04
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,4.5,Stock Receipt,2025/5/6 22:04
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.57,3.93,Consumption Log,2025/5/6 22:23
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.07,4,Stocktake Gain,2025/5/6 23:58
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,6,Stock Receipt,2025/5/7 13:47
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.4,5.6,Stock Requisition,2025/5/7 21:59
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.76,4.84,Consumption Log,2025/5/7 22:25
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.16,5,Stocktake Gain,2025/5/8 11:15
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.5,4.5,Stock Requisition,2025/5/8 21:58
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.77,3.73,Consumption Log,2025/5/8 22:30
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.11,2.62,Consumption Log,2025/5/9 22:36
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.5,2.12,Stock Requisition,2025/5/9 22:59
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,4.12,Stock Receipt,2025/5/9 22:59
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.13,2.99,Stocktake Loss,2025/5/10 22:39
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.4,2.59,Stock Requisition,2025/5/10 22:41
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,4.59,Stock Receipt,2025/5/10 22:41
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.9,3.69,Stocktake Loss,2025/5/11 11:45
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,5.69,Stock Receipt,2025/5/11 21:06
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.5,5.19,Stock Requisition,2025/5/11 21:52
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.9,3.29,Consumption Log,2025/5/11 22:22
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.29,3,Stocktake Loss,2025/5/12 17:50
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,5,Stock Receipt,2025/5/12 21:11
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.1,4.9,Stock Requisition,2025/5/12 22:05
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.82,4.08,Consumption Log,2025/5/12 22:06
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.42,4.5,Stocktake Gain,2025/5/13 12:44
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,6.5,Stock Receipt,2025/5/13 20:33
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.3,6.2,Stock Requisition,2025/5/13 20:42
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.72,5.48,Consumption Log,2025/5/13 22:19
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.48,4,Stocktake Loss,2025/5/14 22:15
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.65,3.35,Consumption Log,2025/5/14 22:24
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,5.35,Stock Receipt,2025/5/15 20:55
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.8,4.55,Stock Requisition,2025/5/15 21:44
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.85,3.7,Consumption Log,2025/5/15 22:10
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.5,5.2,Stocktake Gain,2025/5/16 9:17
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,2,7.2,Stock Receipt,2025/5/16 21:39
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-1.08,6.12,Consumption Log,2025/5/16 22:29
11845,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,-0.11,6.01,Stocktake Loss,2025/5/17 21:04
