日期,菜品,销量
2025-11-30,福佳白4.5度,2.0
2025-11-30,可乐（外卖）,4.0
2025-11-26,米饭（外卖）,15.0
2025-11-26,米饭,45.0
2025-11-20,烤羊肉串（2串起烤）,38.0
2025-11-30,朝日生啤,7.0
2025-11-06,香辣鱿鱼须,1.0
2025-11-27,尽情撸串把把烧套餐（50串）(外卖),3.0
2025-11-28,掌中宝（外卖）,16.0
2025-11-27,宜宾把把烧,13.0
2025-11-27,宜宾把把烧,12.0
2025-11-27,烤羊肉串（外卖）,2.0
2025-11-28,掌中宝（2串起烤）,26.0
2025-11-25,香辣鱿鱼须（外卖）,1.0
2025-11-05,烤鸡翅,2.0
2025-11-25,香辣鱿鱼须,1.0
2025-11-27,烤羊肉串（2串起烤）,44.0
2025-11-20,小份麻辣味烤鱼（黑豆花）,3.0
2025-11-05,烤鸡翅,8.0
2025-11-06,卤肥肠,2.0
2025-11-27,红糖小糍粑,3.0
2025-11-15,掌中宝（外卖）,20.0
2025-11-15,掌中宝（2串起烤）,27.0
2025-11-28,烤羊肉串（2串起烤）,38.0
2025-11-27,米饭（外卖）,11.0
2025-11-27,米饭,74.0
2025-11-10,烤五花肉,5.0
2025-11-27,黑椒猪颈肉（2串起烤）,72.0
2025-11-20,香辣花甲（外卖）,1.0
2025-11-25,米饭,65.0
2025-11-10,烤五花（外卖）,15.0
2025-11-25,米饭（外卖）,14.0
2025-11-16,尽情撸串把把烧套餐（50串）(外卖),7.0
2025-11-20,香辣花甲,4.0
2025-11-15,香辣鱿鱼须,2.0
2025-11-16,宜宾把把烧,15.0
2025-11-13,乡村酥肉,18.0
2025-11-16,宜宾把把烧,11.0
2025-11-30,烤鱿鱼须(2串起烤),16.0
2025-11-26,烤鸡翅,7.0
2025-11-06,米饭（外卖）,10.0
2025-11-25,小份麻辣味烤鱼（黑豆花）,7.0
2025-11-30,烤鱿鱼须（外卖）,4.0
2025-11-26,烤鸡翅,9.0
2025-11-06,米饭,96.0
2025-11-20,麻辣豆花烤鱼（外卖）,16.0
2025-11-20,经典麻辣豆花,32.0
2025-11-17,黑椒猪颈肉（2串起烤）,70.0
2025-11-05,黑椒猪颈肉（2串起烤）,92.0
