日期,菜品,销量
2025/5/12,香脆鱼肚（外卖）,2
2025/5/12,香脆鱼肚,2
2025/5/31,朝日生啤,11
2025/5/19,烤鱿鱼须(2串起烤),15
2025/5/31,朝日生啤,1
2025/5/3,凤梨百香果绿茶,6
2025/5/27,烤鸡翅,11
2025/5/29,银针菇（外卖50克）,20
2025/5/31,米饭,87
2025/5/24,杨枝甘露,2
2025/5/31,米饭（外卖）,18
2025/5/24,烤鸡翅,13
2025/5/7,凤梨百香果绿茶,8
2025/5/13,米饭（外卖）.,6
2025/5/6,掌中宝（外卖）,11
2025/5/31,精酿德式小麦,8
2025/5/11,薯条,11
2025/5/31,精酿德式小麦,2
2025/5/24,烤鸡翅,13
2025/5/17,薯条,17
2025/5/13,米饭,55
2025/5/6,掌中宝（2串起烤）,27
2025/5/22,米饭,73
2025/5/13,米饭（外卖）,30
2025/5/3,凤梨百香果绿茶,2
2025/5/22,米饭（外卖）,16
2025/5/24,杨枝甘露,8
2025/5/22,香脆鱼肚,2
2025/5/24,杨枝甘露,6
2025/5/7,凤梨百香果绿茶,14
2025/5/31,水晶粉,2
2025/5/29,烤鸡翅,19
2025/5/25,米饭,67
2025/5/25,米饭（外卖）,31
2025/5/29,银针菇（外卖）,2
2025/5/12,杨枝甘露,3
2025/5/29,银针菇,6
2025/5/29,银针菇,2
2025/5/22,杨枝甘露,2
2025/5/5,薯条,14
2025/5/31,水晶粉,12
2025/5/31,腐竹,7
2025/5/31,腐竹,8
2025/5/12,杨枝甘露,2
2025/5/6,青椒味小黔鱼（外卖）,2
2025/5/10,醪糟冰汤圆,8
2025/5/22,杨枝甘露,3
2025/5/10,醪糟冰汤圆,28
2025/5/17,手打柠檬,10
2025/5/17,手打柠檬,4
2025/5/31,水晶粉（外卖）,1
2025/5/10,香脆鱼肚,8
2025/5/10,香脆鱼肚（外卖）,2
2025/5/18,卤味豆干（外卖）,3
2025/5/11,手打柠檬,7
2025/5/18,卤味豆干,15
2025/5/11,手打柠檬,3
2025/5/18,卤味豆干,2
2025/5/9,手打柠檬,6
2025/5/20,卤味豆干,6
2025/5/31,椒麻鸡翅尖（外卖，个）,36
2025/5/20,卤味豆干（外卖）,3
2025/5/9,手打柠檬,10
2025/5/20,卤味豆干,4
2025/5/10,卤味豆干（外卖）,4
2025/5/10,卤味豆干,9
2025/5/29,营养儿童餐,3
2025/5/31,烤鱿鱼须(2串起烤),27
2025/5/10,卤味豆干,3
2025/5/31,烤鱿鱼须（外卖）,20
2025/5/18,魔芋（外卖）,22
2025/5/18,魔芋,10
2025/5/18,魔芋,1
2025/5/24,营养儿童餐,11
2025/5/12,醪糟冰汤圆,9
2025/5/12,醪糟冰汤圆,6
2025/5/10,藕片,7
2025/5/6,魔芋,1
2025/5/10,梅子酒（三两）,4
2025/5/18,餐巾纸,103
2025/5/1,餐巾纸,105
2025/5/24,餐巾纸,105
2025/5/11,餐巾纸,107
2025/5/25,餐巾纸,112
2025/5/30,餐巾纸,112
2025/5/10,餐巾纸,114
2025/5/5,餐巾纸,116
2025/5/3,餐巾纸,120
2025/5/20,餐巾纸,122
2025/5/2,餐巾纸,124
2025/5/4,餐巾纸,125
2025/5/31,餐巾纸,137
2025/5/6,餐巾纸,58
2025/5/12,餐巾纸,59
2025/5/14,餐巾纸,61
2025/5/27,餐巾纸,63
2025/5/19,餐巾纸,67
2025/5/7,餐巾纸,69
2025/5/13,餐巾纸,70
2025/5/15,餐巾纸,70
2025/5/26,餐巾纸,70
2025/5/28,餐巾纸,71
2025/5/8,餐巾纸,74
2025/5/22,餐巾纸,77
2025/5/29,餐巾纸,78
2025/5/9,餐巾纸,82
2025/5/16,餐巾纸,89
2025/5/21,餐巾纸,89
2025/5/23,餐巾纸,89
2025/5/17,餐巾纸,98
2025/5/4,餐巾纸,4
2025/5/19,银针菇,2
2025/5/6,银针菇,3
2025/5/1,银针菇,5
2025/5/10,朝日生啤,2
2025/5/28,朝日生啤,2
2025/5/29,朝日生啤,1
2025/5/10,福佳白4.5度,1
2025/5/10,刘创创手作米酒,2
2025/5/10,可乐（外卖）,10
2025/5/14,餐盒费,25
2025/5/7,餐盒费,28
2025/5/22,餐盒费,28
2025/5/6,餐盒费,30
2025/5/12,餐盒费,30
2025/5/27,餐盒费,31
2025/5/26,餐盒费,33
2025/5/13,餐盒费,35
2025/5/15,餐盒费,36
2025/5/19,餐盒费,41
2025/5/8,餐盒费,44
2025/5/23,餐盒费,44
2025/5/31,餐盒费,46
2025/5/17,餐盒费,48
2025/5/25,餐盒费,48
2025/5/21,餐盒费,50
2025/5/10,餐盒费,52
2025/5/16,餐盒费,52
2025/5/28,餐盒费,53
2025/5/1,餐盒费,54
2025/5/3,餐盒费,55
2025/5/29,餐盒费,56
2025/5/4,餐盒费,57
2025/5/30,餐盒费,57
2025/5/18,餐盒费,58
2025/5/9,餐盒费,59
2025/5/24,餐盒费,61
2025/5/2,餐盒费,63
2025/5/11,餐盒费,63
2025/5/20,餐盒费,65
2025/5/5,餐盒费,73
2025/5/10,藕片（外卖）,23
2025/5/6,魔芋（外卖）,5
2025/5/6,银针菇（外卖）,2
2025/5/19,银针菇（外卖）,2
2025/5/1,银针菇（外卖）,4
2025/5/14,外送费,229
2025/5/7,外送费,270
2025/5/6,外送费,290
2025/5/22,外送费,290
2025/5/26,外送费,292
2025/5/12,外送费,308
2025/5/27,外送费,325
2025/5/15,外送费,340
2025/5/13,外送费,378
2025/5/8,外送费,389
2025/5/19,外送费,403
2025/5/28,外送费,435
2025/5/17,外送费,457
2025/5/16,外送费,470
2025/5/3,外送费,473
2025/5/25,外送费,474
2025/5/23,外送费,489
2025/5/2,外送费,492
2025/5/1,外送费,493
2025/5/29,外送费,500
2025/5/31,外送费,512
2025/5/21,外送费,513
2025/5/30,外送费,545
2025/5/9,外送费,566
2025/5/20,外送费,570
2025/5/18,外送费,577
2025/5/10,外送费,584
2025/5/4,外送费,589
2025/5/24,外送费,613
2025/5/11,外送费,694
2025/5/5,外送费,717
2025/5/5,打包费,1
2025/5/6,打包费,1
2025/5/17,打包费,1
2025/5/20,打包费,1
2025/5/25,打包费,1
2025/5/15,打包费,7
2025/5/24,卤味豆干,1
2025/5/24,卤味豆干（外卖）,7
2025/5/10,水晶粉（外卖）,1
2025/5/27,水晶粉（外卖）,1
2025/5/29,水晶粉（外卖）,2
2025/5/28,水晶粉（外卖）,5
2025/5/10,水晶粉,1
2025/5/29,水晶粉,1
2025/5/28,水晶粉,2
2025/5/8,餐盒,1
2025/5/11,餐盒,1
2025/5/17,餐盒,2
2025/5/27,餐盒,2
2025/5/22,餐盒,3
2025/5/7,餐盒,4
2025/5/10,餐盒,4
2025/5/5,餐盒,7
2025/5/29,餐盒,8
2025/5/6,银针菇（外卖50克）,12
2025/5/19,银针菇（外卖50克）,22
2025/5/2,手机支架,1
2025/5/6,手机支架,1
2025/5/12,手机支架,1
2025/5/15,手机支架,1
2025/5/16,手机支架,1
2025/5/20,手机支架,1
2025/5/21,手机支架,1
2025/5/23,手机支架,1
2025/5/25,手机支架,1
2025/5/26,手机支架,1
2025/5/1,手机支架,2
2025/5/4,手机支架,2
2025/5/9,手机支架,2
2025/5/17,手机支架,2
2025/5/18,手机支架,2
2025/5/27,手机支架,2
2025/5/28,手机支架,2
2025/5/11,手机支架,3
2025/5/24,手机支架,3
2025/5/30,手机支架,3
2025/5/8,手机支架,4
2025/5/27,生日大礼包,14
2025/5/12,生日大礼包,15
2025/5/14,生日大礼包,17
2025/5/26,生日大礼包,19
2025/5/28,生日大礼包,19
2025/5/6,生日大礼包,21
2025/5/29,生日大礼包,21
2025/5/8,生日大礼包,22
2025/5/15,生日大礼包,22
2025/5/19,生日大礼包,22
2025/5/7,生日大礼包,23
2025/5/13,生日大礼包,23
2025/5/30,生日大礼包,23
2025/5/16,生日大礼包,28
2025/5/21,生日大礼包,28
2025/5/23,生日大礼包,28
2025/5/20,生日大礼包,31
2025/5/22,生日大礼包,33
2025/5/9,生日大礼包,37
2025/5/18,生日大礼包,42
2025/5/10,生日大礼包,47
2025/5/5,生日大礼包,48
2025/5/31,生日大礼包,48
2025/5/17,生日大礼包,49
2025/5/24,生日大礼包,49
2025/5/25,生日大礼包,51
2025/5/11,生日大礼包,53
2025/5/3,生日大礼包,55
2025/5/1,生日大礼包,60
2025/5/4,生日大礼包,64
2025/5/2,生日大礼包,73
2025/5/24,卤味豆干,9
2025/5/29,水晶粉,1
2025/5/10,水晶粉,4
2025/5/27,水晶粉,4
2025/5/28,水晶粉,5
2025/5/10,藕片,15
2025/5/1,银针菇,10
2025/5/19,银针菇,2
2025/5/6,银针菇,6
2025/5/22,美好火腿肠,2
2025/5/31,美好火腿肠,4
2025/5/22,美好火腿肠（外卖）,1
2025/5/31,美好火腿肠（外卖）,2
2025/5/31,美好火腿肠,10
2025/5/22,美好火腿肠,2
2025/5/16,纸巾（外卖）,1
