日期,菜品,销量
2025-07-04,烤鸡脚（外卖）,6
2025-07-04,香糯烤鸡脚,24
2025-07-15,烤鱿鱼须（外卖）,4
2025-07-06,烤羊肉串（2串起烤）,88
2025-07-28,杨枝甘露,1
2025-07-06,椒麻鸡翅尖（外卖，个）,48
2025-07-06,乡村酥肉（外卖）,2
2025-07-06,乡村酥肉,16
2025-07-06,烤五花（外卖）,40
2025-07-15,烤鱿鱼须(2串起烤),12
2025-07-06,米饭（外卖）,35
2025-07-06,椒麻鸡翅尖,35
2025-07-06,凤梨烤牛肉,48
2025-07-31,水晶粉,2
2025-07-31,水晶粉,3
2025-07-06,烤五花肉,24
2025-07-06,掌中宝（外卖）,12
2025-07-06,加勒比手撕烤鸡,17
2025-07-06,米饭,96
2025-07-08,烤五花肉,18
2025-07-10,烤鸡翅,13
2025-07-26,杨枝甘露,1
2025-07-06,红糖糍粑,22
2025-07-08,烤五花（外卖）,5
2025-07-11,烤鱿鱼须（外卖）,10
2025-07-10,烤鸡翅,4
2025-07-01,宜宾把把烧,18
2025-07-19,杨枝甘露,6
2025-07-06,掌中宝（2串起烤）,62
2025-07-26,杨枝甘露,3
2025-07-19,杨枝甘露,1
2025-07-11,烤鱿鱼须(2串起烤),19
2025-07-31,水晶粉（外卖）,2
2025-07-31,烤鱿鱼须(2串起烤),24
2025-07-06,宜宾把把烧,23
2025-07-06,尽情撸串把把烧套餐（50串）(外卖),2
2025-07-08,烤鱿鱼须（外卖）,22
2025-07-06,烤非遗豆干（外卖）,49
2025-07-06,烤非遗豆干,6
2025-07-08,烤鱿鱼须(2串起烤),27
2025-07-06,黑椒猪颈肉（2串起烤）,113
2025-07-31,藕片（外卖）,7
2025-07-31,藕片,3
2025-07-31,拍黄瓜,4
2025-07-31,藕片,7
2025-07-30,宜宾把把烧,13
2025-07-18,米饭（外卖）.,2
2025-07-15,烤五花肉（5串）,1
2025-07-01,黑椒猪颈肉（2串起烤）,116
2025-07-15,烤五花（外卖）,25
2025-07-15,烤五花肉,15
2025-07-11,烤五花（外卖）,16
2025-07-01,烤鱿鱼须（外卖）,4
2025-07-06,烤鱿鱼须（外卖）,4
2025-07-31,美好火腿肠（外卖）,2
2025-07-11,烤五花肉,17
2025-07-18,米饭（外卖）,33
2025-07-18,米饭,87
2025-07-07,手打柠檬,2
2025-07-31,腐竹,7
2025-07-31,腐竹,3
2025-07-03,青柠气泡,30
2025-07-06,炭烤鱿鱼须（4串）,1
2025-07-06,烤鱿鱼须(2串起烤),39
2025-07-31,美好火腿肠,1
2025-07-03,青柠气泡,29
2025-07-31,美好火腿肠,2
2025-07-01,烤鱿鱼须(2串起烤),14
2025-07-03,红糖糍粑,24
2025-07-07,手打柠檬,5
2025-07-12,米饭（外卖）.,2
2025-07-31,卤味豆干（外卖）,4
2025-07-24,烤鱿鱼须（外卖）,12
2025-07-31,菠萝小油条,4
2025-07-24,烤鱿鱼须(2串起烤),27
2025-07-12,米饭,100
2025-07-31,卤味豆干,7
2025-07-12,米饭（外卖）,30
2025-07-31,烤鸡翅,16
2025-07-31,卤味豆干,3
2025-07-31,烤鸡翅,3
2025-07-10,营养儿童餐,6
2025-07-30,凤梨烤牛肉,33
2025-07-11,烤非遗豆干（外卖）,16
2025-07-11,红糖糍粑,15
2025-07-06,卤肥肠,2
2025-07-31,梅子酒（三两）,3
2025-07-11,烤非遗豆干,8
2025-07-10,米饭（外卖）.,4
2025-07-16,手打柠檬,9
2025-07-16,手打柠檬,1
2025-07-26,手打柠檬,4
2025-07-15,烤非遗豆干（外卖）,16
2025-07-06,拍黄瓜,1
2025-07-26,手打柠檬,9
2025-07-25,黑椒猪颈肉（2串起烤）,89
2025-07-31,卤味豆干+银针菇（素菜搭配C）,1
2025-07-31,蒜香豆花黔鱼（外卖）,5
2025-07-31,精酿德式小麦,3
2025-07-06,薯条,17
2025-07-18,手打柠檬,8
2025-07-06,芝士烤红薯,65
2025-07-31,米饭,106
2025-07-24,酸辣毛豆,2
2025-07-08,烤非遗豆干（外卖）,40
2025-07-10,米饭,94
2025-07-15,烤非遗豆干,7
2025-07-11,手打柠檬,11
2025-07-31,米饭（外卖）,17
2025-07-10,米饭（外卖）,20
2025-07-30,黑椒猪颈肉（2串起烤）,76
2025-07-06,麻辣烤鱼肥肠组合（青笋+卤肥肠+土豆片）,15
2025-07-10,酸菜味小黔鱼（外卖）,2
2025-07-08,烤非遗豆干,7
2025-07-31,青柠气泡,37
2025-07-16,卤味豆干（外卖）,3
2025-07-16,卤味豆干,2
2025-07-22,卤味豆干（外卖）,5
2025-07-31,青柠气泡,15
2025-07-16,卤味豆干,8
2025-07-06,菠萝小油条,12
2025-07-22,卤味豆干,12
2025-07-22,卤味豆干,2
2025-07-22,卤味豆干+银针菇（素菜搭配C）,2
2025-07-23,烤鱿鱼须(2串起烤),23
2025-07-23,烤鱿鱼须（外卖）,8
2025-07-18,红糖糍粑,17
2025-07-31,麻辣烤鱼最佳搭配（卤味豆干+青笋条+土豆片）,28
2025-07-31,麻辣烤鱼灵魂搭配（卤豆干+青笋条+土豆片）,5
2025-07-06,烤鸡脚（外卖）,4
2025-07-06,香糯烤鸡脚,31
2025-07-06,烤鸡翅,28
2025-07-06,烤鸡翅,14
2025-07-11,乡村酥肉（外卖）,1
2025-07-11,乡村酥肉,31
2025-07-12,杨枝甘露,2
2025-07-08,红糖糍粑,18
2025-07-22,掌中宝（外卖）,22
2025-07-22,掌中宝（2串起烤）,24
2025-07-25,米饭,95
2025-07-25,米饭（外卖）,28
2025-07-05,银针菇,3
2025-07-07,银针菇,4
2025-07-29,银针菇,4
2025-07-26,银针菇,5
2025-07-10,银针菇,6
2025-07-22,银针菇,6
2025-07-28,银针菇,6
2025-07-25,米饭（外卖）.,1
2025-07-31,四川冷箭笋,3
2025-07-23,乡村酥肉,22
2025-07-31,餐盒费,24
2025-07-30,餐盒费,25
2025-07-23,餐盒费,28
2025-07-24,餐盒费,28
2025-07-21,餐盒费,31
2025-07-28,餐盒费,32
2025-07-07,餐盒费,40
2025-07-22,餐盒费,40
2025-07-10,餐盒费,41
2025-07-08,餐盒费,43
2025-07-25,餐盒费,43
2025-07-29,餐盒费,46
2025-07-02,餐盒费,47
2025-07-09,餐盒费,49
2025-07-06,餐盒费,53
2025-07-15,餐盒费,53
2025-07-20,餐盒费,54
2025-07-05,餐盒费,56
2025-07-01,餐盒费,57
2025-07-17,餐盒费,58
