日期,菜品,销量
2025-10-31,营养儿童餐,1.0
2025-10-31,水晶粉,2.0
2025-10-30,烤鱿鱼须（外卖）,12.0
2025-10-30,烤鱿鱼须(2串起烤),16.0
2025-10-17,杨枝甘露,3.0
2025-10-08,卤肥肠,4.0
2025-10-10,米饭,55.0
2025-10-31,米饭,71.0
2025-10-10,米饭（外卖）,7.0
2025-10-17,杨枝甘露,2.0
2025-10-31,米饭（外卖）,19.0
2025-10-17,杨枝甘露-花傲天同款,2.0
2025-10-17,杨枝甘露-花傲天同款,1.0
2025-10-17,杨枝甘露,1.0
2025-10-31,腐竹,3.0
2025-10-07,米饭（外卖）.,2.0
2025-10-31,腐竹,2.0
2025-10-30,烤羊肉串（2串起烤）,17.0
2025-10-10,青柠气泡,2.0
2025-10-17,香辣花甲（外卖）,1.0
2025-10-10,青柠气泡,26.0
2025-10-25,米饭（外卖）.,2.0
2025-10-08,老坛酸菜,1.0
2025-10-07,米饭（外卖）,28.0
2025-10-06,掌中宝（外卖）,27.0
2025-10-07,米饭,76.0
2025-10-10,杨枝甘露,4.0
2025-10-06,掌中宝（2串起烤）,66.0
2025-10-08,青柠酸辣,1.0
2025-10-25,米饭,46.0
2025-10-04,米饭,101.0
2025-10-23,米饭,82.0
2025-10-08,经典麻辣豆花,11.0
2025-10-06,烤五花肉,31.0
2025-10-04,米饭（外卖）,30.0
2025-10-23,米饭（外卖）,20.0
2025-10-06,烤鸡翅,4.0
2025-10-03,烤五花肉,21.0
2025-10-06,薯条,12.0
2025-10-08,翡翠青椒,1.0
2025-10-06,烤五花（外卖）,37.0
2025-10-25,米饭（外卖）,32.0
2025-10-09,尽情撸串把把烧套餐（50串）(外卖),1.0
2025-10-03,烤五花（外卖）,16.0
2025-10-09,宜宾把把烧,3.0
2025-10-09,宜宾把把烧,6.0
2025-10-10,杨枝甘露-花傲天同款,2.0
2025-10-10,杨枝甘露-花傲天同款,1.0
2025-10-09,加勒比手撕烤鸡,7.0
2025-10-08,蒜香味,4.0
2025-10-10,杨枝甘露,1.0
2025-10-17,小份麻辣味烤鱼（黑豆花）,12.0
2025-10-09,加勒比手撕鸡（外卖）,1.0
2025-10-06,烤鸡翅,13.0
2025-10-06,烤鸡翅,29.0
2025-10-06,烤羊肉串（2串起烤）,153.0
2025-10-06,凤梨烤牛肉,48.0
2025-10-04,掌中宝（外卖）,8.0
2025-10-04,掌中宝（4串）,1.0
2025-10-04,掌中宝（2串起烤）,39.0
2025-10-02,米饭（外卖）,23.0
2025-10-02,米饭,77.0
2025-10-18,烤鸡翅,20.0
2025-10-24,烤鱿鱼须（外卖）,12.0
2025-10-07,青柠气泡,4.0
2025-10-18,烤鸡翅,7.0
2025-10-09,翡翠青椒,1.0
2025-10-24,烤鱿鱼须(2串起烤),25.0
2025-10-07,青柠气泡,76.0
2025-10-28,娃娃菜,1.0
2025-10-28,娃娃菜,6.0
2025-10-08,升级豆花烤鱼,48.0
2025-10-06,黑椒猪颈肉（2串起烤）,156.0
2025-10-06,宜宾把把烧,15.0
2025-10-08,手工黑豆花（外卖）,3.0
2025-10-31,黑椒猪颈肉（2串起烤）,100.0
2025-10-06,宜宾把把烧,24.0
2025-10-06,尽情撸串把把烧套餐（50串）(外卖),1.0
2025-10-08,手工黑豆花,5.0
2025-10-09,经典麻辣豆花,3.0
2025-10-17,经典麻辣豆花,4.0
2025-10-06,乡村酥肉（外卖）,4.0
2025-10-17,经典麻辣味豆花,2.0
2025-10-06,乡村酥肉,27.0
2025-10-08,青柠酸辣,1.0
2025-10-31,烤羊肉串（2串起烤）,43.0
2025-10-08,青柠酸辣豆花,1.0
2025-10-19,黑椒猪颈肉（2串起烤）,161.0
2025-10-08,青柠酸辣,4.0
