日期,菜品,销量
2025-08-24,加勒比手撕烤鸡,15
2025-08-25,加勒比手撕鸡（外卖）,4
2025-08-24,杨枝甘露,5
2025-08-25,加勒比手撕烤鸡,5
2025-08-15,米饭（外卖）,22
2025-08-29,掌中宝（外卖）,30
2025-08-15,米饭,73
2025-08-24,杨枝甘露-花傲天同款,5
2025-08-31,梅子酒（三两）,1
2025-08-29,掌中宝（2串起烤）,65
2025-08-15,尽情撸串把把烧套餐（50串）(外卖),2
2025-08-25,掌中宝（外卖）,16
2025-08-15,烤鸡翅,16
2025-08-15,宜宾把把烧,16
2025-08-06,杨枝甘露,1
2025-08-15,烤鸡翅,2
2025-08-06,杨枝甘露,1
2025-08-29,尽情撸串把把烧套餐（50串）(外卖),1
2025-08-25,掌中宝（2串起烤）,28
2025-08-29,乡村酥肉（外卖）,6
2025-08-15,红糖糍粑,18
2025-08-29,薯条,12
2025-08-25,卤味豆干,4
2025-08-31,拍黄瓜,3
2025-08-29,乡村酥肉,20
2025-08-29,凤梨烤牛肉,57
2025-08-15,黑椒猪颈肉（2串起烤）,95
2025-08-04,香脆鱼肚,2
2025-08-29,烤鸡翅,19
2025-08-29,烤鸡翅,11
2025-08-29,宜宾把把烧,13
2025-08-29,宜宾把把烧,13
2025-08-24,米饭（外卖）,17
2025-08-31,水晶粉,5
2025-08-29,米饭（外卖）,78
2025-08-29,红糖糍粑,27
2025-08-31,水晶粉,4
2025-08-10,凤梨百香果绿茶,2
2025-08-29,米饭,72
2025-08-24,米饭,90
2025-08-25,卤味豆干（外卖）,2
2025-08-29,米饭（外卖）.,1
2025-08-19,烤鸡翅,21
2025-08-19,烤鸡翅,5
2025-08-15,加勒比手撕鸡（外卖）,5
2025-08-29,烤非遗豆干（外卖）,48
2025-08-15,加勒比手撕烤鸡,7
2025-08-25,卤味豆干,3
2025-08-29,烤非遗豆干,10
2025-08-31,烤鱿鱼须（外卖）,9
2025-08-29,烤五花肉,23
2025-08-24,手打柠檬,15
2025-08-29,椒麻鸡翅尖（外卖，个）,48
2025-08-31,烤鱿鱼须(2串起烤),55
2025-08-12,米饭,84
2025-08-31,腐竹,9
2025-08-12,米饭（外卖）,19
2025-08-31,腐竹,4
2025-08-29,烤五花（外卖）,67
2025-08-24,手打柠檬-花傲天同款,1
2025-08-24,手打柠檬-花傲天同款,8
2025-08-10,凤梨百香果绿茶,11
2025-08-31,水晶粉（外卖）,1
2025-08-29,烤鱿鱼须（外卖）,4
2025-08-24,手打柠檬,1
2025-08-24,芒果雪花冰,5
2025-08-29,烤鱿鱼须(2串起烤),55
2025-08-24,凤梨百香果绿茶,3
2025-08-15,烤五花肉,22
2025-08-31,凤梨烤牛肉,36
2025-08-15,凤梨烤牛肉,38
2025-08-24,芒果雪花冰,7
2025-08-15,烤五花（外卖）,20
2025-08-25,卤味豆干+银针菇（素菜搭配C）,2
2025-08-24,青柠气泡,54
2025-08-24,青柠气泡,29
2025-08-29,黑椒猪颈肉（2串起烤）,144
2025-08-24,凤梨百香果绿茶,13
2025-08-25,凤梨烤牛肉,16
2025-08-29,椒麻鸡翅尖,51
2025-08-15,薯条,8
2025-08-29,椒麻鸡翅尖（外卖，份）,6
2025-08-01,烤鱿鱼须(2串起烤),27
2025-08-31,椒盐花生,1
2025-08-15,凤梨百香果绿茶,2
2025-08-24,醪糟冰汤圆,28
2025-08-24,醪糟冰汤圆,16
2025-08-01,青柠酸辣,3
2025-08-25,麻辣烤鱼灵魂搭配（卤豆干+青笋条+土豆片）,5
2025-08-20,翡翠青椒,2
2025-08-25,麻辣烤鱼最佳搭配（卤味豆干+青笋条+土豆片）,15
2025-08-20,老坛酸菜,1
2025-08-10,掌中宝（外卖）,28
2025-08-01,青柠酸辣豆花,2
2025-08-17,手打柠檬,18
2025-08-17,手打柠檬-花傲天同款,1
2025-08-17,手打柠檬-花傲天同款,4
2025-08-10,掌中宝（2串起烤）,42
2025-08-17,手打柠檬,4
2025-08-15,烤生蚝,13
2025-08-10,手打柠檬,7
2025-08-29,香糯烤鸡脚,37
2025-08-10,手打柠檬,6
2025-08-29,烤鸡脚（外卖）,7
2025-08-20,蒜香味,5
2025-08-29,菠萝小油条,12
2025-08-20,经典麻辣豆花,8
2025-08-15,营养儿童餐,10
2025-08-01,青柠酸辣,1
2025-08-15,烧椒烤茄子,1
2025-08-31,银针菇,3
2025-08-31,银针菇（外卖）,4
2025-08-31,卤味豆干+银针菇（素菜搭配C）,2
