10003	WARN	(Vulnerable JS Library)
10010	IGNORE	(Cookie No HttpOnly Flag - handled by backend config)
10011	IGNORE	(Cookie Without Secure Flag - HTTP only in UAT)
10015	WARN	(Incomplete or No Cache-control)
10017	WARN	(Cross-Domain JavaScript Source File Inclusion)
10020	WARN	(X-Frame-Options Header)
10021	WARN	(X-Content-Type-Options Header)
10036	WARN	(Server Leaks Version Information)
10038	WARN	(Content Security Policy Header Not Set)
10049	WARN	(Storable and Cacheable Content)
10055	WARN	(CSP Wildcard Directive)
10063	WARN	(Permissions Policy Header Not Set)
10096	WARN	(Timestamp Disclosure)
10098	WARN	(Cross-Domain Misconfiguration)
10109	WARN	(Modern Web Application)
40014	WARN	(Cross Site Scripting Persistent)
40018	WARN	(SQL Injection)
40012	WARN	(Cross Site Scripting Reflected)
90022	WARN	(Application Error Disclosure)
90033	WARN	(Loosely Scoped Cookie)
