date,dish_name,quantity
2025-06-10,Chicken,3.25
2025-06-10,Eggs,4.0
2025-06-10,Milk,6.0
2025-06-10,Mutton,1.81
2025-06-10,Onion,4.86
2025-06-10,Paneer,2.19
2025-06-10,Rice,3.58
2025-06-10,Rohu Fish,4.92
2025-06-10,Sugar,2.26
2025-06-10,Tomato,0.95
2025-06-11,Tomato,4.3
2025-06-11,Sugar,1.0
2025-06-11,Rice,3.92
2025-06-11,Paneer,3.19
2025-06-11,Rohu Fish,2.52
2025-06-11,Mutton,3.97
2025-06-11,Milk,4.0
2025-06-11,Eggs,8.0
2025-06-11,Chicken,2.28
2025-06-11,Onion,2.94
2025-06-12,Tomato,3.35
2025-06-12,Sugar,1.15
2025-06-12,Rohu Fish,2.83
2025-06-12,Rice,4.89
2025-06-12,Paneer,4.74
2025-06-12,Onion,1.96
2025-06-12,Milk,8.0
2025-06-12,Eggs,7.0
2025-06-12,Chicken,2.42
2025-06-12,Mutton,2.68
2025-06-13,Rice,4.33
2025-06-13,Tomato,0.68
2025-06-13,Sugar,0.96
2025-06-13,Rohu Fish,0.92
2025-06-13,Paneer,2.29
2025-06-13,Milk,3.0
2025-06-13,Mutton,1.53
2025-06-13,Onion,2.07
2025-06-13,Eggs,3.0
2025-06-13,Chicken,1.12
2025-06-14,Tomato,0.92
2025-06-14,Sugar,3.27
2025-06-14,Rohu Fish,0.57
2025-06-14,Rice,2.18
2025-06-14,Paneer,1.3
2025-06-14,Mutton,0.7
2025-06-14,Milk,8.0
2025-06-14,Eggs,4.0
2025-06-14,Chicken,2.72
2025-06-14,Onion,2.69
2025-06-15,Rice,2.29
2025-06-15,Tomato,4.09
2025-06-15,Sugar,4.26
2025-06-15,Rohu Fish,3.3
2025-06-15,Paneer,2.39
2025-06-15,Chicken,2.94
2025-06-15,Mutton,1.86
2025-06-15,Milk,6.0
2025-06-15,Eggs,8.0
2025-06-15,Onion,0.62
2025-06-16,Rice,4.19
2025-06-16,Tomato,3.91
2025-06-16,Sugar,0.81
2025-06-16,Rohu Fish,1.23
2025-06-16,Paneer,3.46
2025-06-16,Milk,8.0
2025-06-16,Mutton,1.67
2025-06-16,Chicken,1.28
2025-06-16,Onion,4.91
2025-06-16,Eggs,4.0
2025-06-17,Tomato,4.85
2025-06-17,Chicken,1.57
2025-06-17,Eggs,3.0
2025-06-17,Milk,2.0
2025-06-17,Mutton,2.77
2025-06-17,Onion,2.36
2025-06-17,Paneer,1.03
2025-06-17,Rice,3.53
2025-06-17,Rohu Fish,4.81
2025-06-17,Sugar,4.88
2025-06-18,Tomato,2.81
2025-06-18,Sugar,3.63
2025-06-18,Rohu Fish,3.85
2025-06-18,Rice,0.69
2025-06-18,Paneer,0.88
2025-06-18,Eggs,8.0
2025-06-18,Mutton,0.55
2025-06-18,Milk,5.0
2025-06-18,Chicken,2.2
2025-06-18,Onion,4.76
2025-06-19,Rice,1.1
2025-06-19,Sugar,4.98
2025-06-19,Rohu Fish,2.35
2025-06-19,Tomato,3.41
2025-06-19,Paneer,4.78
2025-06-19,Mutton,3.26
2025-06-19,Milk,5.0
2025-06-19,Eggs,9.0
2025-06-19,Chicken,1.72
2025-06-19,Onion,4.94
2025-06-20,Sugar,2.92
2025-06-20,Rohu Fish,2.81
2025-06-20,Rice,4.91
2025-06-20,Paneer,4.45
2025-06-20,Tomato,2.84
2025-06-20,Mutton,3.24
2025-06-20,Milk,8.0
2025-06-20,Eggs,4.0
2025-06-20,Chicken,3.29
2025-06-20,Onion,0.9
2025-06-21,Tomato,0.64
2025-06-21,Sugar,3.04
2025-06-21,Rohu Fish,3.92
2025-06-21,Rice,2.51
2025-06-21,Paneer,1.28
2025-06-21,Onion,2.77
2025-06-21,Milk,4.0
2025-06-21,Eggs,7.0
2025-06-21,Chicken,2.8
2025-06-21,Mutton,3.87
2025-06-22,Rice,1.34
2025-06-22,Tomato,2.02
2025-06-22,Sugar,3.68
2025-06-22,Rohu Fish,4.63
2025-06-22,Paneer,2.92
2025-06-22,Eggs,9.0
2025-06-22,Mutton,2.86
2025-06-22,Chicken,4.33
2025-06-22,Onion,3.23
2025-06-22,Milk,3.0
2025-06-23,Chicken,0.8
2025-06-23,Eggs,8.0
2025-06-23,Milk,4.0
2025-06-23,Mutton,3.88
2025-06-23,Onion,3.86
2025-06-23,Paneer,1.41
2025-06-23,Rice,3.1
2025-06-23,Rohu Fish,2.85
2025-06-23,Sugar,3.31
2025-06-23,Tomato,3.18
2025-06-24,Tomato,3.06
2025-06-24,Sugar,3.23
2025-06-24,Rohu Fish,2.3
2025-06-24,Rice,4.63
2025-06-24,Paneer,4.99
2025-06-24,Eggs,2.0
2025-06-24,Mutton,3.72
2025-06-24,Milk,1.0
2025-06-24,Chicken,1.53
2025-06-24,Onion,2.2
2025-06-25,Rohu Fish,3.49
2025-06-25,Tomato,2.01
2025-06-25,Sugar,3.04
2025-06-25,Onion,4.39
2025-06-25,Rice,4.1
2025-06-25,Paneer,1.99
2025-06-25,Mutton,0.65
2025-06-25,Milk,1.0
2025-06-25,Eggs,8.0
2025-06-25,Chicken,1.51
2025-06-26,Sugar,2.34
2025-06-26,Rohu Fish,1.82
2025-06-26,Rice,2.01
2025-06-26,Paneer,0.84
2025-06-26,Tomato,0.61
2025-06-26,Mutton,3.21
2025-06-26,Milk,8.0
