date,dish_name,quantity
2024-01-01,Beef Rendang,36
2024-01-01,Teh Tarik,412
2024-01-01,Tandoori Chicken,586
2024-01-01,Spaghetti Carbonara,823
2024-01-01,Roti Canai,1350
2024-01-01,Mushroom Soup,73
2024-01-01,Laksa,361
2024-01-01,Nasi Lemak,315
2024-01-01,Iced Lemon Tea,1363
2024-01-01,Chicken Rice,344
2024-01-01,Chicken Chop,270
2024-01-01,Char Kway Teow,236
2024-01-01,Cendol,687
2024-01-01,Kaya Toast Set,1623
2024-01-02,Nasi Lemak,847
2024-01-02,Teh Tarik,770
2024-01-02,Tandoori Chicken,318
2024-01-02,Spaghetti Carbonara,12
2024-01-02,Roti Canai,1536
2024-01-02,Mushroom Soup,197
2024-01-02,Beef Rendang,368
2024-01-02,Kaya Toast Set,1455
2024-01-02,Iced Lemon Tea,357
2024-01-02,Chicken Chop,473
2024-01-02,Cendol,1241
2024-01-02,Laksa,73
2024-01-03,Spaghetti Carbonara,240
2024-01-03,Teh Tarik,496
2024-01-03,Tandoori Chicken,280
2024-01-03,Nasi Lemak,503
2024-01-03,Roti Canai,912
2024-01-03,Laksa,455
2024-01-03,Mushroom Soup,210
2024-01-03,Kaya Toast Set,232
2024-01-03,Cendol,457
2024-01-03,Beef Rendang,387
2024-01-04,Teh Tarik,1580
2024-01-04,Tandoori Chicken,354
2024-01-04,Roti Canai,435
2024-01-04,Nasi Lemak,1082
2024-01-04,Mushroom Soup,73
2024-01-04,Laksa,448
2024-01-04,Iced Lemon Tea,367
2024-01-04,Chicken Chop,191
2024-01-04,Char Kway Teow,207
2024-01-04,Cendol,1704
2024-01-04,Beef Rendang,194
2024-01-04,Kaya Toast Set,957
2024-01-05,Mushroom Soup,92
2024-01-05,Teh Tarik,2440
2024-01-05,Tandoori Chicken,59
2024-01-05,Spaghetti Carbonara,516
2024-01-05,Roti Canai,721
2024-01-05,Laksa,53
2024-01-05,Beef Rendang,153
2024-01-05,Iced Lemon Tea,340
2024-01-05,Chicken Chop,40
2024-01-05,Char Kway Teow,42
2024-01-05,Cendol,323
2024-01-05,Kaya Toast Set,1933
2024-01-06,Nasi Lemak,407
2024-01-06,Teh Tarik,2283
2024-01-06,Tandoori Chicken,490
2024-01-06,Spaghetti Carbonara,106
2024-01-06,Roti Canai,1017
2024-01-06,Laksa,68
2024-01-06,Beef Rendang,243
2024-01-06,Iced Lemon Tea,751
2024-01-06,Chicken Rice,230
2024-01-06,Chicken Chop,176
2024-01-06,Char Kway Teow,401
2024-01-06,Cendol,1475
2024-01-06,Kaya Toast Set,1856
2024-01-07,Teh Tarik,1381
2024-01-07,Tandoori Chicken,300
2024-01-07,Roti Canai,1338
2024-01-07,Nasi Lemak,1741
2024-01-07,Mushroom Soup,199
2024-01-07,Spaghetti Carbonara,312
2024-01-07,Iced Lemon Tea,918
2024-01-07,Chicken Chop,781
2024-01-07,Char Kway Teow,517
2024-01-07,Cendol,509
2024-01-07,Beef Rendang,348
2024-01-07,Kaya Toast Set,2111
2024-01-08,Teh Tarik,2242
2024-01-08,Tandoori Chicken,207
2024-01-08,Spaghetti Carbonara,162
2024-01-08,Roti Canai,649
2024-01-08,Laksa,142
2024-01-08,Chicken Chop,156
2024-01-08,Cendol,528
2024-01-08,Kaya Toast Set,1803
2024-01-09,Mushroom Soup,198
2024-01-09,Teh Tarik,195
2024-01-09,Spaghetti Carbonara,75
2024-01-09,Nasi Lemak,109
2024-01-09,Kaya Toast Set,1002
2024-01-09,Beef Rendang,60
2024-01-09,Chicken Chop,562
2024-01-09,Char Kway Teow,135
2024-01-09,Cendol,917
2024-01-09,Iced Lemon Tea,881
2024-01-10,Teh Tarik,2596
2024-01-10,Tandoori Chicken,0
2024-01-10,Roti Canai,353
2024-01-10,Nasi Lemak,149
2024-01-10,Mushroom Soup,0
2024-01-10,Laksa,368
2024-01-10,Kaya Toast Set,1993
2024-01-10,Chicken Rice,18
2024-01-10,Chicken Chop,763
2024-01-10,Char Kway Teow,257
2024-01-10,Cendol,888
2024-01-10,Beef Rendang,231
2024-01-10,Iced Lemon Tea,174
2024-01-11,Nasi Lemak,1295
2024-01-11,Tandoori Chicken,178
2024-01-11,Spaghetti Carbonara,154
2024-01-11,Roti Canai,1156
2024-01-11,Mushroom Soup,184
2024-01-11,Teh Tarik,4110
2024-01-11,Iced Lemon Tea,315
2024-01-11,Beef Rendang,320
2024-01-11,Cendol,417
2024-01-11,Laksa,4
2024-01-11,Chicken Rice,166
2024-01-11,Char Kway Teow,3
2024-01-12,Teh Tarik,947
2024-01-12,Spaghetti Carbonara,181
2024-01-12,Nasi Lemak,380
2024-01-12,Laksa,874
2024-01-12,Mushroom Soup,0
2024-01-12,Chicken Rice,680
2024-01-12,Chicken Chop,249
2024-01-12,Cendol,638
2024-01-12,Beef Rendang,211
2024-01-12,Iced Lemon Tea,398
2024-01-13,Nasi Lemak,502
2024-01-13,Tandoori Chicken,236
2024-01-13,Spaghetti Carbonara,356
2024-01-13,Teh Tarik,2737
2024-01-13,Roti Canai,1418
2024-01-13,Mushroom Soup,195
2024-01-13,Char Kway Teow,125
2024-01-13,Iced Lemon Tea,921
2024-01-13,Chicken Rice,479
2024-01-13,Chicken Chop,170
2024-01-13,Cendol,756
2024-01-13,Kaya Toast Set,1601
2024-01-13,Beef Rendang,371
2024-01-14,Kaya Toast Set,1628
2024-01-14,Teh Tarik,1788
2024-01-14,Tandoori Chicken,149
2024-01-14,Spaghetti Carbonara,289
2024-01-14,Mushroom Soup,100
2024-01-14,Iced Lemon Tea,1789
2024-01-14,Chicken Chop,134
2024-01-14,Cendol,2031
2024-01-14,Beef Rendang,162
2024-01-14,Chicken Rice,588
2024-01-15,Tandoori Chicken,178
2024-01-15,Spaghetti Carbonara,516
2024-01-15,Roti Canai,1505
2024-01-15,Nasi Lemak,1407
2024-01-15,Mushroom Soup,108
2024-01-15,Laksa,294
2024-01-15,Teh Tarik,2561
2024-01-15,Iced Lemon Tea,2205
2024-01-15,Chicken Rice,353
2024-01-15,Chicken Chop,207
2024-01-15,Char Kway Teow,362
2024-01-15,Cendol,649
2024-01-15,Kaya Toast Set,3371
2024-01-16,Teh Tarik,3956
2024-01-16,Tandoori Chicken,368
2024-01-16,Spaghetti Carbonara,405
2024-01-16,Roti Canai,2153
2024-01-16,Mushroom Soup,0
2024-01-16,Chicken Rice,515
2024-01-16,Chicken Chop,635
2024-01-16,Char Kway Teow,279
2024-01-16,Cendol,218
2024-01-16,Beef Rendang,611
